primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
Scott Waugh,2,48000000.0,156945424.33333334,470836273.0,3.2528935883838384
Louisa Warren,2,36333333.333333336,78413617.66666667,470481706.0,0.8209582927350426
Ava DuVernay,3,65840000.0,93443805.6,467219028.0,0.6816701017475727
Mike Flanagan,4,3478823.529411765,27040650.70588235,459691062.0,2.7107908466853408
Mikael Håfström,3,52000000.0,64039667.14285714,448277670.0,0.30646662265857694
Sylvain White,2,20000000.0,37150441.333333336,445805296.0,1.5204905333333327
Nima Nourizadeh,2,15200000.0,88481556.0,442407780.0,6.084938923809524
Ross Whitaker,2,19385736.90909091,40199833.0,442198163.0,0.027324153323318157
Ernie Barbarash,3,22444444.444444444,48139285.44444445,433253569.0,0.3756614938271605
Scott Cooper,2,42666666.666666664,71036706.33333333,426220238.0,0.4770978396226415
Steve Pink,3,20888888.888888888,47259997.55555555,425339978.0,1.5390548101343096
Andrew Niccol,2,47000000.0,84602431.2,423012156.0,0.975083970285714
Jon Erwin,3,7000000.0,35133305.333333336,421599664.0,5.243047860805862
Andrew Erwin,3,7000000.0,35133305.333333336,421599664.0,5.243047860805862
Craig Gillespie,4,49555555.55555555,46702269.333333336,420320424.0,0.40875788695526694
Tomas Alfredson,2,29000000.0,59609002.428571425,417263017.0,1.3680352612244897
Oliver Stone,2,47857142.85714286,55580591.71428572,389064142.0,0.19019611047619053
Cameron Crowe,2,46750000.0,95393577.5,381574310.0,0.9524704936486486
Charles Martin Smith,2,36400000.0,73122209.4,365611047.0,1.0023230166666666
Lee Daniels,2,21250000.0,90526580.5,362106322.0,2.1115314866666663
Michael Cuesta,2,41250000.0,45190101.875,361520815.0,0.17693283531746035
Roman Polanski,2,30000000.0,44967238.25,359737906.0,0.5074340144444445
Kirk Jones,2,32625000.0,89378901.5,357515606.0,2.048579181111111
Stephen Frears,2,16250000.0,88222628.75,352890515.0,5.667973543103448
Yossi Madmoni,2,22137931.03448276,11956667.310344828,346743352.0,-0.471607501582542
Boaz Yakin,2,23250000.0,43117421.0,344939368.0,0.9515385617424245
William Brent Bell,2,5500000.0,84990221.0,339960884.0,53.2907926
Xavier Giannoli,2,15200000.0,22632301.0,339484515.0,0.5629595789915965
Peter Spierig,2,6100000.0,67604902.4,338024512.0,10.705471840000001
Michael Spierig,2,6100000.0,67604902.4,338024512.0,10.705471840000001
Brad Furman,3,39166666.666666664,56125290.0,336751740.0,0.5439623646198831
Scott Stewart,3,35100000.0,66261462.2,331307311.0,2.184850804835165
Julie Anne Robinson,2,34666666.666666664,55024463.333333336,330146780.0,1.1192081968253966
Edgar Wright,2,24666666.666666668,107707065.0,323121195.0,2.8199323725490193
James DeMonaco,3,7333333.333333333,107105396.33333333,321316189.0,17.22214364074074
Gavin O'Connor,3,26500000.0,30956842.8,309568428.0,0.00883058750000001
Peter Landesman,2,28750000.0,38176930.75,305415446.0,0.1196328964285714
Bille Woodruff,2,5000000.0,14363302.57142857,301629354.0,1.8726605142857158
Barry Jenkins,2,5000000.0,50116730.333333336,300700382.0,28.549648861111113
Gavin Hood,2,77666666.66666667,97123122.66666667,291369368.0,0.6834204144522144
Patricia Riggen,2,21571428.57142857,41371578.14285714,289601047.0,1.4333992417582415
Neil Marshall,2,47000000.0,57796789.6,288983948.0,0.09643096266666666
Jodie Foster,2,25500000.0,71361080.75,285444323.0,1.6563522976190472
Rob Cohen,3,33625000.0,35442118.875,283536951.0,1.4354290303571429
Brian A. Miller,2,34800000.0,28353268.4,283532684.0,-0.5274455266666667
John R. Leonetti,2,9250000.0,140170132.5,280340265.0,19.736908862179487
John Lee Hancock,2,25000000.0,69682858.5,278731434.0,1.4557615190476192
Greta Gerwig,2,14000000.0,55724796.2,278623981.0,3.239058206666667
George Nolfi,2,38680000.0,55104824.0,275524120.0,0.15115639943451997
Andy Tennant,2,11800000.0,27161767.4,271617674.0,-0.3964051688888889
George Tillman Jr.,3,27000000.0,44887846.0,269327076.0,0.6308701670574027
Peter Segal,2,27850000.0,66548057.0,266192228.0,1.8881593487261148
Jake Schreier,2,9625000.0,65321452.0,261285808.0,4.834090849999999
John Crowley,2,20666666.666666668,41384094.0,248304564.0,2.7621903636363636
Simon Curtis,2,10600000.0,48848073.0,244240365.0,3.5652450799999995
John Hillcoat,2,24800000.0,48703708.0,243518540.0,0.9330898276923077
David Wain,2,27583333.333333332,20147075.0,241764900.0,-0.375915623931624
Tyler Perry,4,21400000.0,47531093.4,237655467.0,1.232025535904762
Renny Harlin,2,50666666.666666664,39331477.0,235988862.0,-0.4361011246031745
Derek Cianfrance,3,11000000.0,29412066.375,235296531.0,6.666147875
Eli Roth,3,7466666.666666667,15658393.0,234875895.0,3.1575344333333333
Gus Van Sant,2,13727272.727272727,10645098.181818182,234192160.0,-0.26092136818181816
David Frankel,3,37000000.0,58440859.0,233763436.0,0.7951820892615176
Ken Scott,2,32111111.111111112,25952455.222222224,233572097.0,0.00613921414141415
Niels Arden Oplev,2,24400000.0,46512751.2,232563756.0,0.9773436071794872
Paul Thomas Anderson,2,31666666.666666668,38689059.333333336,232134356.0,0.14660427333333334
Akiva Schaffer,2,37500000.0,38333582.5,230001495.0,-0.15129886363636366
Yorgos Lanthimos,2,9750000.0,56066881.5,224267526.0,4.139334744444445
Kelly Weaver,2,11500000.0,31817643.85714286,222723507.0,0.9690798206997085
Ki-duk Kim,2,18000000.0,55398016.0,221592064.0,1.521653961038961
Nick Hamm,2,19566666.666666668,14579018.4,218685276.0,-0.7686753
Alex Kendrick,2,2500000.0,54580561.5,218322246.0,20.1256775
Steven Knight,3,24153846.153846152,16477624.0,214209112.0,-0.3269703514244061
Miguel Arteta,2,22000000.0,70206901.66666667,210620705.0,1.675863580952381
Stephen Daldry,2,11562500.0,12971970.9375,207551535.0,0.8776394687499992
Michael Tiddes,3,3833333.3333333335,34414164.666666664,206484988.0,10.231117816666666
Pierre Morel,2,38333333.333333336,22283841.555555556,200554574.0,-0.3565693644444444
Dexter Fletcher,2,29000000.0,66254561.666666664,198763685.0,1.1893750565570873
John Wells,2,21000000.0,39566570.0,197832850.0,0.8768508799999999
Burr Steers,2,36000000.0,32558192.0,195349152.0,-0.15200018181818184
Allen Hughes,2,57500000.0,96615431.0,193230862.0,0.48476467767857145
Martin McDonagh,2,12750000.0,96613825.5,193227651.0,6.898208902777778
