movie_id,primary_title,movie,production_budget,worldwide_gross,roi
tt1618430,Dum Maaro Dum,Dum Maaro Dum,5200000.0,11633427.0,1.2371975
tt1618442,The Last Witch Hunter,The Last Witch Hunter,80000000.0,130818912.0,0.6352364
tt1619029,Jackie,Jackie,9000000.0,36588512.0,3.0653902222222222
tt1757772,Jackie,Jackie,9000000.0,36588512.0,3.0653902222222222
tt2108546,Jackie,Jackie,9000000.0,36588512.0,3.0653902222222222
tt2180419,Jackie,Jackie,9000000.0,36588512.0,3.0653902222222222
tt1620680,A Wrinkle in Time,A Wrinkle in Time,103000000.0,133401882.0,0.29516390291262135
tt1620935,Bleed for This,Bleed for This,16000000.0,6603926.0,-0.587254625
tt1620981,The Addams Family,The Addams Family,30000000.0,191502246.0,5.3834082
tt1621039,Free Birds,Free Birds,55000000.0,110387072.0,1.0070376727272727
tt1621045,Think Like a Man,Think Like a Man,12000000.0,113373764.0,8.447813666666667
tt1622547,30 Minutes or Less,30 Minutes or Less,28000000.0,40966716.0,0.463097
tt1622979,Final Destination 5,Final Destination 5,40000000.0,155011165.0,2.875279125
tt1622991,Infected,Infected,2100000.0,0.0,-1.0
tt1893415,Infected,Infected,2100000.0,0.0,-1.0
tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,200000000.0,490359051.0,1.451795255
tt1623288,ParaNorman,ParaNorman,60000000.0,108119662.0,0.8019943666666667
tt1623771,Stitches,Stitches,2000000.0,63555.0,-0.9682225
tt2126362,Stitches,Stitches,2000000.0,63555.0,-0.9682225
tt7319312,Stitches,Stitches,2000000.0,63555.0,-0.9682225
tt8746682,Stitches,Stitches,2000000.0,63555.0,-0.9682225
tt1625346,Young Adult,Young Adult,12000000.0,22750356.0,0.895863
tt1627937,The Journey,The Journey,500000.0,19800.0,-0.9604
tt2099755,The Journey,The Journey,500000.0,19800.0,-0.9604
tt3025936,The Journey,The Journey,500000.0,19800.0,-0.9604
tt3144678,The Journey,The Journey,500000.0,19800.0,-0.9604
tt4826674,The Journey,The Journey,500000.0,19800.0,-0.9604
tt4900076,The Journey,The Journey,500000.0,19800.0,-0.9604
tt5270158,The Journey,The Journey,500000.0,19800.0,-0.9604
tt6067118,The Journey,The Journey,500000.0,19800.0,-0.9604
tt6213758,The Journey,The Journey,500000.0,19800.0,-0.9604
